Date,Open,High,Low,Close,Volume
04-Jan-16,17405.480469,17405.480469,16957.630859,17148.939453,148060000
05-Jan-16,17147.5,17195.839844,17038.609375,17158.660156,105750000
06-Jan-16,17154.830078,17154.830078,16817.619141,16906.509766,120250000
07-Jan-16,16888.359375,16888.359375,16463.630859,16514.099609,176240000
08-Jan-16,16519.169922,16651.890625,16314.570312,16346.450195,141850000
11-Jan-16,16358.709961000002,16461.849609,16232.030272999998,16398.570312,127790000
12-Jan-16,16419.109375,16591.349609,16322.070312,16516.220703,117480000
13-Jan-16,16526.630859,16593.509766,16123.200195,16151.410156,153530000
14-Jan-16,16159.009766,16482.050781,16075.120116999999,16379.049805,158830000
15-Jan-16,16354.330078,16354.330078,15842.110352000002,15988.080078,239210000
19-Jan-16,16009.450195,16171.959961000002,15900.25,16016.019531,144360000
20-Jan-16,15989.450195,15989.450195,15450.55957,15766.740234,191870000
21-Jan-16,15768.870116999999,16038.589844,15704.660156,15882.679688,145140000
22-Jan-16,15921.099609,16136.790038999998,15921.099609,16093.509766,145850000
25-Jan-16,16086.459961000002,16086.459961000002,15880.150391,15885.219727000002,123250000
26-Jan-16,15893.160156,16185.790038999998,15893.160156,16167.230469,118210000
27-Jan-16,16168.740234,16235.030272999998,15878.299805,15944.459961000002,138350000
28-Jan-16,15960.280272999998,16102.139647999998,15863.719727000002,16069.639647999998,130120000
29-Jan-16,16090.259766,16466.300781,16090.259766,16466.300781,217940000
01-Feb-16,16453.630859,16510.980469,16299.469727000002,16449.179688,114450000
02-Feb-16,16420.210938,16420.210938,16108.44043,16153.540038999998,126210000
03-Feb-16,16186.200195,16381.69043,15960.450195,16336.660156,141870000
04-Feb-16,16329.669922,16485.839844,16266.160156,16416.580078,131490000
05-Feb-16,16417.949219,16423.630859,16129.80957,16204.969727000002,139010000
08-Feb-16,16147.509766,16147.509766,15803.549805,16027.049805,165880000
09-Feb-16,16005.410156,16136.620116999999,15881.110352000002,16014.379883000001,127740000
10-Feb-16,16035.610352000002,16201.889647999998,15899.910156,15914.740234,122290000
11-Feb-16,15897.820312,15897.820312,15503.009766,15660.179688,172070000
12-Feb-16,15691.620116999999,15974.040038999998,15691.620116999999,15973.839844,132550000
16-Feb-16,16012.389647999998,16196.410156,16012.389647999998,16196.410156,142030000
17-Feb-16,16217.980469,16486.119141,16217.980469,16453.830078,124080000
18-Feb-16,16483.759766,16511.839844,16390.429688,16413.429688,104950000
19-Feb-16,16410.960938,16410.960938,16278.0,16391.990234,134340000
22-Feb-16,16417.130859,16664.240234,16417.130859,16620.660156,102240000
23-Feb-16,16610.390625,16610.390625,16403.529297,16431.779297,98170000
24-Feb-16,16418.839844,16507.390625,16165.860352000002,16484.990234,93620000
25-Feb-16,16504.380859,16697.980469,16458.419922,16697.289062,94120000
26-Feb-16,16712.699219,16795.980469,16623.910156,16639.970703,98480000
29-Feb-16,16634.150391,16726.119141,16510.400391,16516.5,126220000
01-Mar-16,16545.669922,16865.560547,16545.669922,16865.080078,105050000
02-Mar-16,16851.169922,16900.169922,16766.320312,16899.320312,104470000
03-Mar-16,16896.169922,16944.310547,16820.730469,16943.900391,91110000
04-Mar-16,16945.0,17062.380859,16898.839844,17006.769531,106910000
07-Mar-16,16991.289062,17099.25,16940.480469,17073.949219,100290000
08-Mar-16,17050.669922,17072.789062,16921.509766,16964.099609,108380000
09-Mar-16,16969.169922,17048.5,16947.939453,17000.359375,116690000
10-Mar-16,17006.050781,17130.109375,16821.859375,16995.130859,117570000
11-Mar-16,17014.990234,17220.089844,17014.990234,17213.310547,123420000
14-Mar-16,17207.490234,17275.070312,17161.160156,17229.130859,96350000
15-Mar-16,17217.150391,17251.699219,17120.349609,17251.529297,92830000
16-Mar-16,17249.339844,17379.179688,17204.070312,17325.759766,118710000
17-Mar-16,17321.380859,17529.009766,17297.650391,17481.490234,117990000
18-Mar-16,17481.490234,17620.580078,17481.490234,17602.300781,321230000
21-Mar-16,17589.699219,17644.970703,17551.279297,17623.869141,84410000
22-Mar-16,17602.710938,17648.939453,17540.419922,17582.570312,95450000
23-Mar-16,17588.810547,17588.810547,17486.269531,17502.589844,84240000
24-Mar-16,17485.330078,17517.140625,17399.009766,17515.730469,84100000
28-Mar-16,17526.080078,17583.810547,17493.029297,17535.390625,70460000
29-Mar-16,17512.580078,17642.810547,17434.269531,17633.109375,86160000
30-Mar-16,17652.359375,17790.109375,17652.359375,17716.660156,79330000
31-Mar-16,17716.050781,17755.699219,17669.720703,17685.089844,102600000
01-Apr-16,17661.740234,17811.480469,17568.019531,17792.75,104890000
04-Apr-16,17799.390625,17806.380859,17710.669922,17737.0,85230000
05-Apr-16,17718.029297,17718.029297,17579.560547,17603.320312,115230000
06-Apr-16,17605.449219,17723.550781,17542.539062,17716.050781,99410000
07-Apr-16,17687.279297,17687.279297,17484.230469,17541.960938,90120000
08-Apr-16,17555.390625,17694.509766,17528.160156,17576.960938,79990000
11-Apr-16,17586.480469,17731.630859,17555.900391,17556.410156,107100000
12-Apr-16,17571.339844,17744.429688,17553.570312,17721.25,81020000
13-Apr-16,17741.660156,17918.349609,17741.660156,17908.279297,91710000
14-Apr-16,17912.25,17962.140625,17885.439453,17926.429688,84510000
15-Apr-16,17925.949219,17937.650391,17867.410156,17897.460938,118160000
18-Apr-16,17890.199219,18009.529297,17848.220703,18004.160156,89390000
19-Apr-16,18012.099609,18103.460938,17984.429688,18053.599609,89820000
20-Apr-16,18059.490234,18167.630859,18031.210938,18096.269531,100210000
21-Apr-16,18092.839844,18107.289062,17963.890625,17982.519531,102720000
22-Apr-16,17985.050781,18026.849609,17909.890625,18003.75,134120000
25-Apr-16,17990.939453,17990.939453,17855.550781,17977.240234,83770000
26-Apr-16,17987.380859,18043.769531,17934.169922,17990.320312,92570000
27-Apr-16,17996.140625,18084.660156,17920.259766,18041.550781,109090000
28-Apr-16,18023.880859,18035.730469,17796.550781,17830.759766,100920000
29-Apr-16,17813.089844,17814.830078,17651.980469,17773.640625,136670000
02-May-16,17783.779297,17912.349609,17773.710938,17891.160156,80100000
03-May-16,17870.75,17870.75,17670.880859,17750.910156,97060000
04-May-16,17735.019531,17738.060547,17609.009766,17651.259766,95020000
05-May-16,17664.480469,17736.109375,17615.820312,17660.710938,81530000
06-May-16,17650.300781,17744.539062,17580.380859,17740.630859,80020000
09-May-16,17743.849609,17783.160156,17668.380859,17705.910156,85590000
10-May-16,17726.660156,17934.609375,17726.660156,17928.349609,75790000
11-May-16,17919.029297,17919.029297,17711.050781,17711.119141,87390000
12-May-16,17711.119141,17798.189453,17625.380859,17720.5,88560000
13-May-16,17711.119141,17734.740234,17512.480469,17535.320312,86640000
16-May-16,17531.759766,17755.800781,17531.759766,17710.710938,88440000
17-May-16,17701.460938,17701.460938,17469.919922,17529.980469,103260000
18-May-16,17501.279297,17636.220703,17418.210938,17526.619141,79120000
19-May-16,17514.160156,17514.160156,17331.070312,17435.400391,95530000
20-May-16,17437.320312,17571.75,17437.320312,17500.939453,111990000
23-May-16,17507.039062,17550.699219,17480.050781,17492.929688,87790000
24-May-16,17525.189453,17742.589844,17525.189453,17706.050781,86480000
25-May-16,17735.089844,17891.710938,17735.089844,17851.509766,79180000
26-May-16,17859.519531,17888.660156,17803.820312,17828.289062,68940000
27-May-16,17826.849609,17873.220703,17824.730469,17873.220703,73190000
31-May-16,17891.5,17899.240234,17724.029297,17787.199219,147390000
01-Jun-16,17754.550781,17809.179688,17664.789062,17789.669922,78530000
02-Jun-16,17789.050781,17838.560547,17703.550781,17838.560547,75560000
03-Jun-16,17799.800781,17833.169922,17689.679688,17807.060547,82270000
06-Jun-16,17825.689453,17949.679688,17822.810547,17920.330078,71870000
07-Jun-16,17936.220703,18003.230469,17936.220703,17938.279297,78750000
08-Jun-16,17931.910156,18016.0,17931.910156,18005.050781,71260000
09-Jun-16,17969.980469,18005.220703,17915.880859,17985.189453,69690000
10-Jun-16,17938.820312,17938.820312,17812.339844,17865.339844,90540000
13-Jun-16,17830.5,17893.279297,17731.349609,17732.480469,101690000
14-Jun-16,17710.769531,17733.919922,17595.789062,17674.820312,93740000
15-Jun-16,17703.650391,17762.960938,17629.009766,17640.169922,94130000
16-Jun-16,17602.230469,17754.910156,17471.289062,17733.099609,91950000
17-Jun-16,17733.439453,17733.439453,17602.779297,17675.160156,248680000
