Date,Open,High,Low,Close,Volume
04-Jan-16,1.55,1.55,1.47,1.48,31400
05-Jan-16,1.47,1.49,1.47,1.48,15600
06-Jan-16,1.48,1.48,1.45,1.46,25700
07-Jan-16,1.43,1.47,1.43,1.44,25700
08-Jan-16,1.42,1.43,1.41,1.41,40400
11-Jan-16,1.43,1.43,1.39,1.39,39100
12-Jan-16,1.43,1.45,1.39,1.39,45800
13-Jan-16,1.4,1.41,1.33,1.35,44000
14-Jan-16,1.38,1.4,1.36,1.4,35100
15-Jan-16,1.4,1.4,1.36,1.36,33400
19-Jan-16,1.35,1.35,1.18,1.31,126300
20-Jan-16,1.31,1.33,1.25,1.32,34800
21-Jan-16,1.33,1.35,1.31,1.31,20600
22-Jan-16,1.34,1.35,1.2,1.24,209700
25-Jan-16,1.25,1.38,1.25,1.28,46900
26-Jan-16,1.28,1.34,1.27,1.28,102900
27-Jan-16,1.26,1.34,1.26,1.29,16800
28-Jan-16,1.27,1.33,1.27,1.3,16900
29-Jan-16,1.29,1.34,1.26,1.28,43200
01-Feb-16,1.3,1.33,1.3,1.33,10400
02-Feb-16,1.33,1.33,1.3,1.3,23200
03-Feb-16,1.33,1.34,1.27,1.28,20900
04-Feb-16,1.32,1.35,1.29,1.29,40700
05-Feb-16,1.32,1.32,1.26,1.28,25800
08-Feb-16,1.21,1.31,1.21,1.22,40300
09-Feb-16,1.24,1.24,1.2,1.2,71500
10-Feb-16,1.21,1.22,1.17,1.18,39600
11-Feb-16,1.16,1.18,1.13,1.15,71500
12-Feb-16,1.16,1.26,1.16,1.22,75600
16-Feb-16,1.22,1.27,1.19,1.26,36300
17-Feb-16,1.23,1.31,1.18,1.24,233800
18-Feb-16,1.21,1.23,1.17,1.17,115900
19-Feb-16,1.19,1.26,1.19,1.21,89400
22-Feb-16,1.24,1.26,1.21,1.24,20900
23-Feb-16,1.2,1.25,1.16,1.23,32100
24-Feb-16,1.23,1.23,1.23,1.23,0
25-Feb-16,1.22,1.22,1.17,1.21,43300
26-Feb-16,1.21,1.29,1.21,1.22,23300
29-Feb-16,1.27,1.27,1.16,1.19,24900
01-Mar-16,1.22,1.41,1.22,1.36,129000
02-Mar-16,1.37,1.42,1.34,1.38,90800
03-Mar-16,1.37,1.42,1.32,1.32,20300
04-Mar-16,1.31,1.43,1.31,1.37,42400
07-Mar-16,1.35,1.44,1.35,1.37,30500
08-Mar-16,1.37,1.42,1.37,1.37,14500
09-Mar-16,1.37,1.37,1.33,1.36,33500
10-Mar-16,1.36,1.4,1.35,1.4,18300
11-Mar-16,1.4,1.42,1.4,1.4,22700
14-Mar-16,1.42,1.42,1.39,1.39,12500
15-Mar-16,1.42,1.42,1.37,1.37,7300
16-Mar-16,1.72,1.72,1.52,1.6,740900
17-Mar-16,1.61,1.66,1.53,1.62,112600
18-Mar-16,1.63,1.68,1.6,1.64,82000
21-Mar-16,1.68,1.72,1.66,1.69,121200
22-Mar-16,1.7,1.71,1.65,1.66,45600
23-Mar-16,1.66,1.67,1.61,1.61,63400
24-Mar-16,1.61,1.61,1.58,1.59,54200
28-Mar-16,1.56,1.68,1.56,1.66,61200
29-Mar-16,1.68,1.7,1.65,1.65,47700
30-Mar-16,1.7,1.72,1.7,1.71,54500
31-Mar-16,1.7,1.74,1.7,1.7,80500
01-Apr-16,1.7,1.79,1.7,1.76,222100
04-Apr-16,1.79,1.8,1.77,1.78,27100
05-Apr-16,1.75,1.77,1.7,1.7,66700
06-Apr-16,1.73,1.76,1.7,1.7,16300
07-Apr-16,1.7,1.77,1.7,1.74,58400
08-Apr-16,1.79,1.79,1.75,1.78,36000
11-Apr-16,1.77,1.79,1.76,1.76,30400
12-Apr-16,1.75,1.8,1.75,1.76,29600
