Date,Open,High,Low,Close,Volume
04-Jan-16,4.88,4.95,4.76,4.83,67400
05-Jan-16,4.85,5.05,4.84,5.04,33900
06-Jan-16,4.92,5.06,4.87,4.91,26500
07-Jan-16,4.85,5.03,4.77,4.78,28500
08-Jan-16,4.8,4.82,4.67,4.69,30400
11-Jan-16,4.68,4.7,4.53,4.62,62900
12-Jan-16,4.62,4.78,4.51,4.68,69400
13-Jan-16,4.65,4.71,4.45,4.54,71500
14-Jan-16,4.55,4.62,4.47,4.54,27600
15-Jan-16,4.41,4.51,4.25,4.44,72800
19-Jan-16,4.48,4.54,4.14,4.28,56100
20-Jan-16,4.2,4.23,3.92,4.19,100100
21-Jan-16,4.16,4.44,4.03,4.3,145100
22-Jan-16,4.3,4.61,4.11,4.58,84900
25-Jan-16,4.57,4.68,4.46,4.49,42100
26-Jan-16,4.51,4.66,4.45,4.62,32700
27-Jan-16,4.62,4.67,4.4,4.42,39000
28-Jan-16,4.46,4.49,4.36,4.38,10100
29-Jan-16,4.4,4.54,4.37,4.5,22600
01-Feb-16,4.47,4.57,4.41,4.53,14600
02-Feb-16,4.47,4.57,4.39,4.39,38200
03-Feb-16,4.41,4.51,4.13,4.49,51900
04-Feb-16,4.47,4.5,4.36,4.39,11100
05-Feb-16,4.33,4.49,4.15,4.16,42500
08-Feb-16,4.13,4.22,3.81,3.87,65400
09-Feb-16,3.84,4.07,3.77,3.8,29500
10-Feb-16,3.84,3.89,3.67,3.68,57800
11-Feb-16,3.61,3.78,3.43,3.67,67300
12-Feb-16,3.68,3.94,3.68,3.9,24600
16-Feb-16,3.93,4.05,3.87,3.9,29200
17-Feb-16,3.91,4.06,3.87,4.03,57600
18-Feb-16,4.02,4.14,3.9,3.97,48400
19-Feb-16,3.97,4.0,3.94,3.96,11300
22-Feb-16,3.98,4.27,3.98,4.25,87200
23-Feb-16,4.23,4.39,4.07,4.07,47000
24-Feb-16,4.02,4.23,3.97,4.23,19600
25-Feb-16,4.24,4.31,4.15,4.31,18700
26-Feb-16,4.31,4.45,4.29,4.38,14300
29-Feb-16,4.36,4.5,4.36,4.44,25900
01-Mar-16,4.4,4.44,4.3,4.43,20200
02-Mar-16,4.39,4.67,4.35,4.55,47900
03-Mar-16,4.66,4.99,4.55,4.67,57000
04-Mar-16,4.17,4.75,4.17,4.73,62900
07-Mar-16,4.69,4.77,4.55,4.59,30100
08-Mar-16,4.54,4.64,4.42,4.45,29800
09-Mar-16,4.49,4.53,4.4,4.5,11500
10-Mar-16,4.48,4.48,4.26,4.36,41800
11-Mar-16,4.39,4.5,4.34,4.5,39900
14-Mar-16,4.47,4.55,4.41,4.51,14500
15-Mar-16,4.47,4.54,4.37,4.37,9100
16-Mar-16,4.35,4.45,4.31,4.41,13200
17-Mar-16,4.4,4.42,4.31,4.39,8800
18-Mar-16,4.42,4.46,4.27,4.39,54300
21-Mar-16,4.4,4.46,4.34,4.37,15400
22-Mar-16,4.34,4.47,4.3,4.43,12000
23-Mar-16,4.4,4.44,4.25,4.3,19500
24-Mar-16,4.28,4.35,4.23,4.32,12300
28-Mar-16,4.32,4.45,4.32,4.4,17000
29-Mar-16,4.38,4.59,4.36,4.37,44200
30-Mar-16,4.42,4.56,4.26,4.37,12500
31-Mar-16,4.35,4.41,4.27,4.27,27300
01-Apr-16,4.3,4.37,4.11,4.18,50300
04-Apr-16,4.2,4.22,4.12,4.18,28500
05-Apr-16,4.16,4.24,4.1,4.14,18100
06-Apr-16,4.16,4.2,4.12,4.14,27800
07-Apr-16,4.1,4.17,4.05,4.06,13000
08-Apr-16,4.06,4.14,4.01,4.04,33300
11-Apr-16,4.04,4.19,4.03,4.08,21800
12-Apr-16,4.11,4.18,3.96,3.99,55000
13-Apr-16,4.03,4.17,3.97,4.01,233400
14-Apr-16,4.0,4.48,4.0,4.4,63100
15-Apr-16,4.37,4.49,4.27,4.44,16500
18-Apr-16,4.45,4.5,4.37,4.43,14000
19-Apr-16,4.44,4.54,4.42,4.49,15400
20-Apr-16,4.33,4.52,4.33,4.42,14700
21-Apr-16,4.39,4.53,4.31,4.38,32700
22-Apr-16,4.4,4.51,4.4,4.45,27100
25-Apr-16,4.41,4.63,4.41,4.6,16100
26-Apr-16,4.64,4.83,4.41,4.76,21200
27-Apr-16,4.67,4.76,4.61,4.69,22900
28-Apr-16,4.58,4.63,4.57,4.58,19300
29-Apr-16,4.58,4.65,4.52,4.55,29100
02-May-16,4.55,4.69,4.51,4.67,25300
03-May-16,4.69,4.69,4.51,4.53,11000
04-May-16,4.55,4.6,4.49,4.49,15000
05-May-16,4.44,4.45,4.19,4.19,62100
06-May-16,4.25,4.25,4.16,4.25,13700
09-May-16,4.25,4.37,3.97,4.3,11900
10-May-16,4.3,4.3,4.14,4.27,15900
11-May-16,4.25,4.33,4.2,4.21,21700
12-May-16,4.22,4.29,4.2,4.24,15000
13-May-16,4.24,4.31,4.21,4.23,26600
16-May-16,4.23,4.3,4.2,4.25,11200
17-May-16,4.27,4.27,4.05,4.11,29600
18-May-16,4.25,4.41,4.19,4.33,66800
19-May-16,4.38,4.52,4.31,4.5,45200
20-May-16,4.53,4.58,4.48,4.52,15300
23-May-16,4.52,4.59,4.51,4.53,11300
24-May-16,4.54,4.61,4.54,4.61,23600
25-May-16,4.59,4.68,4.58,4.67,14900
26-May-16,4.66,4.68,4.59,4.63,12300
27-May-16,4.62,4.7,4.55,4.64,21600
31-May-16,4.67,4.67,4.53,4.61,10000
01-Jun-16,4.57,4.57,4.51,4.53,20800
02-Jun-16,4.53,4.68,4.53,4.68,10100
03-Jun-16,4.61,4.75,4.61,4.68,18800
06-Jun-16,4.63,4.69,4.63,4.65,9800
07-Jun-16,4.65,4.66,4.6,4.62,6900
08-Jun-16,4.6,4.65,4.57,4.64,17900
09-Jun-16,4.57,4.64,4.54,4.57,12000
10-Jun-16,4.58,4.69,4.58,4.63,9600
13-Jun-16,4.64,4.66,4.64,4.64,10000
14-Jun-16,4.59,4.63,4.46,4.56,40400
15-Jun-16,4.62,4.62,4.53,4.62,29300
16-Jun-16,4.8,4.8,4.64,4.71,8800
17-Jun-16,4.7,4.7,4.54,4.55,56000
20-Jun-16,4.64,4.7,4.63,4.65,21800
21-Jun-16,4.63,4.66,4.57,4.58,9900
22-Jun-16,4.6,4.6,4.55,4.58,29600
23-Jun-16,4.59,4.61,4.55,4.6,41000
24-Jun-16,4.52,4.64,4.51,4.6,162300
27-Jun-16,4.53,4.6,4.39,4.4,41200
28-Jun-16,4.41,4.51,4.4,4.44,28400
29-Jun-16,4.42,4.49,4.4,4.47,37100
30-Jun-16,4.4,4.55,4.4,4.51,31600
01-Jul-16,4.48,4.55,4.48,4.5,15100
05-Jul-16,4.46,4.54,4.43,4.43,22400
06-Jul-16,4.43,4.54,4.43,4.53,46700
07-Jul-16,4.56,4.58,4.53,4.54,10900
08-Jul-16,4.56,4.76,4.55,4.74,26700
11-Jul-16,4.71,4.93,4.71,4.82,16500
12-Jul-16,4.81,4.99,4.81,4.95,13300
13-Jul-16,4.92,4.97,4.88,4.9,16800
14-Jul-16,4.89,4.91,4.86,4.88,5400
15-Jul-16,4.91,4.95,4.87,4.94,11100
18-Jul-16,4.98,5.0,4.87,4.97,13300
19-Jul-16,4.97,4.99,4.87,4.95,8300
20-Jul-16,4.94,4.95,4.88,4.93,10200
21-Jul-16,4.89,4.89,4.83,4.83,10600
22-Jul-16,4.92,4.96,4.84,4.85,21600
25-Jul-16,4.83,4.83,4.64,4.74,23200
26-Jul-16,4.95,4.95,4.85,4.88,3800
27-Jul-16,4.82,4.89,4.82,4.85,5500
28-Jul-16,4.83,4.98,4.83,4.93,10600
29-Jul-16,4.97,4.97,4.82,4.84,36500
01-Aug-16,4.85,4.91,4.77,4.84,16700
02-Aug-16,4.87,4.9,4.87,4.87,5800
03-Aug-16,4.79,4.87,4.79,4.87,5000
04-Aug-16,4.87,4.87,4.71,4.75,18300
05-Aug-16,4.72,4.78,4.7,4.72,25800
08-Aug-16,4.72,4.74,4.72,4.72,8000
09-Aug-16,4.8,4.8,4.73,4.78,10200
10-Aug-16,4.76,4.76,4.67,4.67,6500
11-Aug-16,4.68,4.95,4.68,4.89,19100
12-Aug-16,4.63,4.93,4.63,4.82,18200
15-Aug-16,4.79,4.82,4.65,4.76,20500
16-Aug-16,4.71,4.72,4.68,4.69,20600
17-Aug-16,4.68,4.71,4.63,4.68,5800
18-Aug-16,4.7,4.8,4.68,4.79,18300
19-Aug-16,4.8,4.84,4.73,4.77,20100
22-Aug-16,4.77,4.9,4.75,4.9,29700
23-Aug-16,4.82,4.83,4.72,4.74,31800
24-Aug-16,4.74,4.78,4.6,4.65,43600
25-Aug-16,4.69,4.72,4.6,4.61,1800
26-Aug-16,4.59,4.64,4.59,4.63,2900
29-Aug-16,4.59,4.88,4.59,4.81,14000
30-Aug-16,4.87,4.87,4.79,4.8,11200
31-Aug-16,4.76,4.84,4.75,4.81,8100
01-Sep-16,4.78,4.78,4.6,4.69,19100
02-Sep-16,4.74,4.79,4.5,4.7,591700
06-Sep-16,4.65,4.91,4.64,4.88,94200
07-Sep-16,4.9,5.11,4.9,5.05,43900
08-Sep-16,5.12,5.38,5.12,5.37,18100
09-Sep-16,5.31,5.53,5.27,5.42,32100
12-Sep-16,5.33,5.39,5.32,5.38,23100
13-Sep-16,5.31,5.34,5.18,5.25,40800
14-Sep-16,5.2,5.3,5.09,5.15,18000
15-Sep-16,5.2,5.29,5.2,5.27,12100
16-Sep-16,5.28,5.3,5.28,5.28,33200
19-Sep-16,5.33,5.33,5.28,5.32,5900
20-Sep-16,5.32,5.36,5.31,5.32,4800
21-Sep-16,5.35,5.44,5.3,5.38,10300
22-Sep-16,5.45,5.86,5.45,5.67,79500
23-Sep-16,5.7,5.7,5.55,5.56,34800
26-Sep-16,5.71,5.71,5.47,5.48,13700
27-Sep-16,5.54,5.54,5.4,5.42,11500
28-Sep-16,5.37,5.43,5.03,5.42,46600
29-Sep-16,5.33,5.46,5.33,5.4,9200
30-Sep-16,5.32,5.45,5.31,5.43,31600
03-Oct-16,5.43,5.46,5.38,5.42,7500
04-Oct-16,5.46,5.46,5.28,5.31,8800
05-Oct-16,5.37,5.39,5.34,5.37,15300
06-Oct-16,5.44,5.44,5.37,5.41,4700
07-Oct-16,5.44,5.44,5.35,5.38,6200
10-Oct-16,5.48,5.55,5.47,5.5,5600
11-Oct-16,5.53,5.53,5.27,5.34,18100
12-Oct-16,5.48,5.49,5.29,5.36,4900
13-Oct-16,5.37,5.37,5.31,5.32,5700
14-Oct-16,5.3,5.31,5.26,5.28,13900
17-Oct-16,5.17,5.25,5.16,5.2,19500
18-Oct-16,5.2,5.23,5.08,5.12,21200
19-Oct-16,5.08,5.19,5.08,5.17,4700
20-Oct-16,5.16,5.24,5.14,5.16,10800
21-Oct-16,5.1,5.15,5.07,5.09,5800
24-Oct-16,5.15,5.17,5.02,5.09,20600
25-Oct-16,5.16,5.16,5.07,5.11,7000
26-Oct-16,5.03,5.04,4.97,5.02,12900
27-Oct-16,4.96,5.07,4.96,5.01,14100
28-Oct-16,5.06,5.09,4.97,5.02,10500
31-Oct-16,5.23,5.23,4.94,5.18,25700
01-Nov-16,5.37,5.37,5.05,5.05,15300
02-Nov-16,5.06,5.13,4.94,5.07,12000
03-Nov-16,5.11,5.11,4.95,4.96,8900
04-Nov-16,5.17,5.17,4.95,4.97,9600
07-Nov-16,5.01,5.29,5.01,5.25,15800
08-Nov-16,5.3,5.35,5.08,5.15,8900
09-Nov-16,5.12,5.51,4.97,5.51,40700
10-Nov-16,5.35,5.35,4.77,4.9,180800
11-Nov-16,4.9,4.95,4.8,4.95,76300
14-Nov-16,5.0,5.02,4.87,5.02,42600
15-Nov-16,5.07,5.22,4.73,5.0,35700
16-Nov-16,5.0,5.09,4.97,5.03,27100
17-Nov-16,5.04,5.16,5.0,5.03,37200
18-Nov-16,5.06,5.06,4.98,5.0,28600
21-Nov-16,5.13,5.13,4.94,5.04,28700
22-Nov-16,5.09,5.13,4.91,4.98,39700
23-Nov-16,4.98,5.0,4.6,4.85,65700
25-Nov-16,4.8,5.0,4.74,4.97,18800
28-Nov-16,4.91,5.0,4.91,4.99,34000
29-Nov-16,4.99,5.13,4.96,5.03,68600
30-Nov-16,5.0,5.13,4.97,4.98,33100
01-Dec-16,4.94,5.04,4.8,4.81,28800
02-Dec-16,4.77,4.96,4.45,4.65,85400
05-Dec-16,4.57,4.63,4.4,4.47,134700
06-Dec-16,4.43,4.47,4.25,4.41,77200
07-Dec-16,4.39,4.77,4.37,4.65,68800
08-Dec-16,4.61,4.86,4.61,4.78,75800
09-Dec-16,4.85,4.98,4.6,4.9,84800
12-Dec-16,4.9,5.0,4.8,4.99,36500
13-Dec-16,4.96,4.97,4.75,4.83,36800
14-Dec-16,4.77,5.05,4.7,4.79,50600
15-Dec-16,4.83,4.96,4.48,4.86,42800
16-Dec-16,4.89,5.0,4.89,4.9,64700
19-Dec-16,4.95,5.0,4.85,4.99,24900
20-Dec-16,4.95,5.0,4.95,5.0,25300
21-Dec-16,4.96,4.98,4.88,4.92,13600
22-Dec-16,4.92,4.96,4.81,4.85,14200
23-Dec-16,4.88,4.98,4.87,4.96,18400
27-Dec-16,4.92,5.0,4.92,4.97,11400
28-Dec-16,5.0,5.0,4.88,4.99,16900
29-Dec-16,5.0,5.0,4.9,5.0,6100
30-Dec-16,4.98,5.0,4.89,4.99,31800
03-Jan-17,5.0,5.0,4.89,4.93,9700
04-Jan-17,4.97,5.05,4.85,5.05,95200
05-Jan-17,5.05,5.19,5.0,5.16,40300
06-Jan-17,5.15,5.15,5.0,5.03,16000
09-Jan-17,5.04,5.04,4.88,4.95,8200
10-Jan-17,5.01,5.26,4.88,5.08,48500
11-Jan-17,4.94,5.3,4.94,5.2,62400
